"","id","name","role","cast_crew","movie_id","overview","release_date","genre_ids","original_title","original_language","title","popularity","vote_count","vote_average"
"1",521,"Michael J. Fox","Marty McFly","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"2",1062,"Christopher Lloyd","Dr. Emmett Brown","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"3",1063,"Lea Thompson","Lorraine Baines","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"4",1064,"Crispin Glover","George McFly","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"5",1065,"Thomas F. Wilson","Biff Tannen","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"6",1066,"Claudia Wells","Jennifer Parker","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"7",1067,"Marc McClure","Dave McFly","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"8",1068,"Wendie Jo Sperber","Linda McFly","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"9",1069,"George DiCenzo","Sam Baines","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"10",1070,"Frances Lee McCain","Stella Baines","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"11",1072,"James Tolkan","Mr. Strickland","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"12",1074,"Harry Waters, Jr.","Marvin Berry","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"13",1954,"Billy Zane","Match","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"14",11673,"J.J. Cohen","Skinhead","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"15",1953,"Casey Siemaszko","3-D","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"16",84494,"Donald Fullilove","Goldie Wilson","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"17",97708,"Lisa Freeman","Babs","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
"18",1116544,"Cristen Kauffman","Betty","cast",105,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","1985-07-03","12,35,878,10751","Back to the Future","en","Back to the Future",7.640877,4636,7.9
