"","id","name","role","cast_crew","movie_id","overview","release_date","genre_ids","original_title","original_language","title","popularity","vote_count","vote_average"
"1",6384,"Keanu Reeves","Thomas ""Neo"" Anderson","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"2",2975,"Laurence Fishburne","Morpheus","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"3",530,"Carrie-Anne Moss","Trinity","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"4",1331,"Hugo Weaving","Agent Smith","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"5",9364,"Gloria Foster","Oracle","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"6",532,"Joe Pantoliano","Cypher","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"7",9372,"Marcus Chong","Tank","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"8",9380,"Paul Goddard","Agent Brown","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"9",39545,"Robert Taylor","Agent Jones","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"10",7244,"Julian Arahanga","Apoc","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"11",9374,"Matt Doran","Mouse","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"12",9376,"Belinda McClory","Switch","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"13",9378,"Anthony Ray Parker","Dozer","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"14",9383,"David Aston","Rhineheart","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"15",9384,"Marc Aden","Choi","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"16",181214,"Ada Nicodemou","Dujour","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"17",1090466,"Deni Gordon","Priestess","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"18",218366,"Rowan Witt","Spoon Boy","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"19",1209244,"Eleanor Witt","Potential","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"20",1209245,"Tamara Brown","Potential","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"21",1209246,"Janaya Pender","Potential","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
"22",1209247,"Adryn White","Potential","cast",603,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","1999-03-30","28,878","The Matrix","en","The Matrix",12.250163,7245,7.8
