"","id","name","role","cast_crew","movie_id","overview","release_date","genre_ids","original_title","original_language","title","popularity","vote_count","vote_average"
"1",31,"Tom Hanks","Forrest Gump","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"2",32,"Robin Wright","Jenny Curran","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"3",33,"Gary Sinise","Lt. Dan Taylor","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"4",34,"Mykelti Williamson","Pvt. Benjamin Buford 'Bubba' Blue","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"5",35,"Sally Field","Mrs. Gump","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"6",37821,"Michael Conner Humphreys","Young Forrest Gump","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"7",204997,"Hanna Hall","Young Jenny Curran","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"8",9640,"Haley Joel Osment","Forrest Gump Jr.","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"9",6751,"Siobhan Fallon","School Bus Driver","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"10",37825,"Afemo Omilami","Drill Sergeant","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"11",37822,"Peter Dobson","Young Elvis Presley","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"12",37823,"Sonny Shroyer","College Football Coach","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"13",951881,"George Kelly","Barber","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"14",36221,"Sam Anderson","Principal","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"15",1215432,"Margo Moorer","Louise","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"16",1019727,"Christopher Jones","Boy with cross","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
"17",37832,"Kevin Mangan","Jenny's Father","cast",13,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","1994-07-06","35,18,10749","Forrest Gump","en","Forrest Gump",8.348526,5911,8.1
